ORSPL,PLANT_NAME,rggi,Low_Income,PRIME_MOVER,Year,fuel
607,Fredonia,0,0,GT,1995,Natural Gas
56406,Sierra Pacific Burlington Facility,0,0,ST,1995,
609,Cape Canaveral,0,1,CC,1995,
609,Cape Canaveral,0,1,ST,1995,Natural Gas
610,Cutler,0,0,ST,1995,Natural Gas
612,Fort Myers,0,1,CC,1995,
612,Fort Myers,0,1,GT,1995,Oil
612,Fort Myers,0,1,ST,1995,Oil
613,Lauderdale,0,1,CC,1995,
613,Lauderdale,0,1,GT,1995,Natural Gas
50887,Wheelabrator South Broward,0,1,ST,1995,
617,Port Everglades,0,0,CC,1995,
617,Port Everglades,0,0,GT,1995,Natural Gas
617,Port Everglades,0,0,ST,1995,Natural Gas
619,Riviera,0,1,CC,1995,
619,Riviera,0,1,ST,1995,Oil
620,Sanford,0,0,CC,1995,
620,Sanford,0,0,ST,1995,Oil
624,Avon Park,0,0,GT,1995,Natural Gas
629,G E Turner,0,0,GT,1995,Oil
629,G E Turner,0,0,GT,1995,Oil
630,Higgins,0,0,GT,1995,Natural Gas
634,P L Bartow,0,0,CC,1995,
634,P L Bartow,0,0,GT,1995,Oil
634,P L Bartow,0,0,ST,1995,Oil
637,Rio Pinar,0,0,GT,1995,Oil
641,Crist,0,0,ST,1995,Coal
645,Big Bend,0,1,GT,1995,Oil
645,Big Bend,0,1,GT,1995,Oil
645,Big Bend,0,1,ST,1995,Coal
646,F J Gannon,0,1,GT,1995,Oil
646,F J Gannon,0,1,ST,1995,Coal
7873,H L Culbreath Bayside Power Station,0,1,CC,1995,
7873,H L Culbreath Bayside Power Station,0,1,GT,1995,
10204,Mosaic Co Tampa Facility,0,1,ST,1995,
647,Hookers Point,0,1,ST,1995,Oil
50875,McKay Bay Facility,0,1,ST,1995,
54347,Howard F Curren Advncd Wastewater Plant,0,1,IC,1995,
55893,Partnership Station,0,1,IC,1995,
658,Henry D King,0,1,CC,1995,Natural Gas
658,Henry D King,0,1,IC,1995,Oil
658,Henry D King,0,1,ST,1995,Natural Gas
658,Henry D King,0,1,ST,1995,Natural Gas
663,Deerhaven Generating Station,0,1,GT,1995,Natural Gas
663,Deerhaven Generating Station,0,1,GT,1995,Natural Gas
663,Deerhaven Generating Station,0,1,ST,1995,Coal
57241,Gainesville Renewable Energy Center,0,1,ST,1995,
664,John R Kelly,0,1,CC,1995,
664,John R Kelly,0,1,GT,1995,Natural Gas
664,John R Kelly,0,1,ST,1995,Natural Gas
664,John R Kelly,0,1,ST,1995,Natural Gas
666,J D Kennedy,0,1,GT,1995,Oil
54430,Jackson Mill,0,1,ST,1995,
668,Southside Generating Station,0,0,ST,1995,Natural Gas
10008,Baptist Medical Center,0,0,GT,1995,
10008,Baptist Medical Center,0,0,IC,1995,
672,Hansel,0,1,CC,1995,Natural Gas
672,Hansel,0,1,CC,1995,Natural Gas
672,Hansel,0,1,IC,1995,Natural Gas
673,Tom G Smith,0,1,CC,1995,Natural Gas
673,Tom G Smith,0,1,GT,1995,Oil
673,Tom G Smith,0,1,IC,1995,Oil
673,Tom G Smith,0,1,ST,1995,Natural Gas
673,Tom G Smith,0,1,ST,1995,Natural Gas
675,Larsen Memorial,0,0,CC,1995,Natural Gas
675,Larsen Memorial,0,0,GT,1995,Natural Gas
675,Larsen Memorial,0,0,ST,1995,Oil
676,C D McIntosh Jr,0,0,CC,1995,
676,C D McIntosh Jr,0,0,GT,1995,Natural Gas
676,C D McIntosh Jr,0,0,IC,1995,Oil
676,C D McIntosh Jr,0,0,ST,1995,Coal
679,Smith Street,0,0,IC,1995,
