ORSPL,PLANT_NAME,PRIME_MOVER,UNIT_SIZE,FUEL_TYPE,rggi,Low_Income,FIRST_YEAR_OF_OPERATION,MAJ_FUEL_1995,MAJ_FUEL_1996,MAJ_FUEL_1997,MAJ_FUEL_1998,MAJ_FUEL_1999,MAJ_FUEL_2000,MAJ_FUEL_2001,MAJ_FUEL_2002,MAJ_FUEL_2003,MAJ_FUEL_2004,MAJ_FUEL_2005,MAJ_FUEL_2006,MAJ_FUEL_2007,MAJ_FUEL_2008,MAJ_FUEL_2009,MAJ_FUEL_2010,MAJ_FUEL_2011,MAJ_FUEL_2012,MAJ_FUEL_2013,MAJ_FUEL_2014,MAJ_FUEL_2015,MAJ_FUEL_2016
120,Yucca,ST,>=25,Natural Gas,0,1,1959,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
126,H Wilson Sundt Generating Station,GT,>=25,Natural Gas,0,0,1958,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
126,H Wilson Sundt Generating Station,ST,>=25,Natural Gas,0,0,1958,Coal,Coal,Coal,Coal,Coal,Natural Gas,Natural Gas,Natural Gas,Coal,Coal,Coal,Coal,Coal,Coal,Natural Gas,Natural Gas,Coal,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
127,Oklaunion,ST,>=25,Coal,0,1,1986,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
130,Cross,ST,>=25,Coal,0,1,1984,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
136,Seminole (FL),ST,>=25,Coal,0,0,1984,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
141,Agua Fria,GT,>=25,Natural Gas,0,1,1957,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,
141,Agua Fria,ST,>=25,Natural Gas,0,1,1957,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
143,Crosscut,ST,<25,-,0,1,1939,,,,,,,,,,,,,,,,,,,,,,
147,Kyrene,CC,>=25,Natural Gas,0,1,1952,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
147,Kyrene,GT,>=25,Oil,0,1,1952,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,,,,
147,Kyrene,ST,>=25,Natural Gas,0,1,1952,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,Natural Gas,,,,,,,,,,,,
151,McClure,GT,>=25,Oil,0,1,1980,Oil,Oil,Oil,Oil,Natural Gas,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Oil,Oil
160,Apache Station,CC,<25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,
160,Apache Station,CC,>=25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,
160,Apache Station,GT,<25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
160,Apache Station,GT,>=25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
160,Apache Station,ST,>=25,Coal,0,0,1963,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
164,Big Pine,IC,<25,Oil,0,0,1969,Oil,Oil,Oil,Oil,,,,,Oil,Oil,Oil,Oil,,,,,,,,,,
6582,Cudjoe,IC,<25,Oil,0,0,1966,Oil,Oil,Oil,Oil,,,,,Oil,Oil,Oil,Oil,,,,,,,,,,
165,GREC,ST,>=25,Coal,0,0,1981,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
7757,Chouteau,CC,>=25,Natural Gas,0,0,2000,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
167,Cecil Lynch,IC,<25,Oil,0,1,1949,,,,,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,,,,
167,Cecil Lynch,ST,>=25,Natural Gas,0,1,1949,,,,,,,,,,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,
171,Mabelvale,GT,<25,Natural Gas,0,0,1970,Oil,Oil,Oil,,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,
172,Osceola (AR),IC,<25,Oil,0,0,1992,,,,,,,,,Oil,Oil,Oil,,Oil,Oil,Oil,,,,,,,
173,Robert E Ritchie,GT,<25,Oil,0,1,1961,Natural Gas,Oil,,Oil,,Natural Gas,,,,,,,,Oil,,,,,,,,
173,Robert E Ritchie,ST,>=25,Natural Gas,0,1,1961,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,,,,,,,,,,,,,
193,Municipal Light,IC,<25,Oil,0,1,1952,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,,Oil,,,
202,Carl Bailey,ST,>=25,Natural Gas,0,1,1966,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
203,McClellan (AR),ST,>=25,Natural Gas,0,0,1972,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
228,Contra Costa,ST,>=25,Natural Gas,0,1,1964,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,
